Utente,A,B,Scelta
utente_mc822xq7_3162,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc822xq7_3162,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc822xq7_3162,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc822xq7_3162,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc822xq7_3162,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc822xq7_3162,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc822xq7_3162,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc822xq7_3162,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc822xq7_3162,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc822xq7_3162,ElevenLabs 2,Reale 2,B meglio
utente_mc822xq7_3162,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc822xq7_3162,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc822xq7_3162,Reale 1,ElevenLabs 1,Uguale
utente_mc822xq7_3162,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc822xq7_3162,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc822xq7_3162,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc822xq7_3162,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc822xq7_3162,Grenoble 4,ElevenLabs 4,Grenoble Molto Meglio
utente_mc822xq7_3162,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc822xq7_3162,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc82np8h_8571,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc82np8h_8571,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc82np8h_8571,Grenoble 2,ElevenLabs 2,Uguale
utente_mc82np8h_8571,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mc82np8h_8571,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc82np8h_8571,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc82np8h_8571,ElevenLabs 3,Grenoble 3,Grenoble Molto Meglio
utente_mc82np8h_8571,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc82np8h_8571,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc82np8h_8571,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc82np8h_8571,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc82np8h_8571,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc82np8h_8571,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc82np8h_8571,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc82np8h_8571,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc82np8h_8571,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc82np8h_8571,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc82np8h_8571,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc82np8h_8571,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc82np8h_8571,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc8396yz_3725,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc8396yz_3725,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc8396yz_3725,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc8396yz_3725,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc8396yz_3725,Reale 1,ElevenLabs 1,B meglio
utente_mc8396yz_3725,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc8396yz_3725,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc8396yz_3725,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc8396yz_3725,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc8396yz_3725,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc8396yz_3725,Reale 3,ElevenLabs 3,A meglio
utente_mc8396yz_3725,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc8396yz_3725,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc8396yz_3725,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc8396yz_3725,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc8396yz_3725,ElevenLabs 9,Grenoble 9,Grenoble Molto Peggio
utente_mc8396yz_3725,ElevenLabs 5,Grenoble 5,Uguale
utente_mc8396yz_3725,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc8396yz_3725,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc8396yz_3725,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc96p9ri_6334,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc96p9ri_6334,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96p9ri_6334,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96p9ri_6334,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc96p9ri_6334,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc96p9ri_6334,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96p9ri_6334,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96p9ri_6334,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc96p9ri_6334,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96p9ri_6334,ElevenLabs 2,Reale 2,B meglio
utente_mc96p9ri_6334,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96p9ri_6334,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96p9ri_6334,Reale 1,ElevenLabs 1,Uguale
utente_mc96p9ri_6334,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96p9ri_6334,Reale 3,ElevenLabs 3,Uguale
utente_mc96p9ri_6334,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96p9ri_6334,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96p9ri_6334,Grenoble 4,ElevenLabs 4,Grenoble Molto Meglio
utente_mc96p9ri_6334,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96p9ri_6334,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96qdsr_3657,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96qdsr_3657,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96qdsr_3657,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96qdsr_3657,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96qdsr_3657,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96qdsr_3657,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96qdsr_3657,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc96qdsr_3657,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96qdsr_3657,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96qdsr_3657,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc96qdsr_3657,Reale 3,ElevenLabs 3,A meglio
utente_mc96qdsr_3657,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96qdsr_3657,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96qdsr_3657,ElevenLabs 3,Grenoble 3,Grenoble Meglio
utente_mc96qdsr_3657,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc96qdsr_3657,ElevenLabs 9,Grenoble 9,Grenoble Molto Peggio
utente_mc96qdsr_3657,ElevenLabs 5,Grenoble 5,Uguale
utente_mc96qdsr_3657,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96qdsr_3657,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc96qdsr_3657,ElevenLabs 1,Grenoble 1,Grenoble Peggio
utente_mc96rbwh_2036,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc96rbwh_2036,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96rbwh_2036,Grenoble 2,ElevenLabs 2,Uguale
utente_mc96rbwh_2036,ElevenLabs 9,Grenoble 9,Grenoble Meglio
utente_mc96rbwh_2036,ElevenLabs 4,Reale 4,Uguale
utente_mc96rbwh_2036,Reale 5,ElevenLabs 5,Uguale
utente_mc96rbwh_2036,ElevenLabs 3,Grenoble 3,Grenoble Molto Meglio
utente_mc96rbwh_2036,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96rbwh_2036,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96rbwh_2036,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96rbwh_2036,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96rbwh_2036,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96rbwh_2036,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96rbwh_2036,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96rbwh_2036,ElevenLabs 7,Grenoble 7,Grenoble Peggio
utente_mc96rbwh_2036,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96rbwh_2036,Grenoble 4,ElevenLabs 4,Grenoble Meglio
utente_mc96rbwh_2036,Grenoble 8,ElevenLabs 8,Grenoble Meglio
utente_mc96rbwh_2036,ElevenLabs 2,Reale 2,Reale Molto Meglio
utente_mc96rbwh_2036,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc96sprf_8979,ElevenLabs 3,Grenoble 3,Uguale 
utente_mc96sprf_8979,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96sprf_8979,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96sprf_8979,ElevenLabs 5,Grenoble 5,Uguale 
utente_mc96sprf_8979,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc96sprf_8979,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96sprf_8979,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96sprf_8979,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc96sprf_8979,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96sprf_8979,ElevenLabs 2,Reale 2,Reale Molto Meglio 
utente_mc96sprf_8979,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96sprf_8979,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96sprf_8979,Reale 1,ElevenLabs 1,Reale Molto Meglio 
utente_mc96sprf_8979,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96sprf_8979,Reale 3,ElevenLabs 3,Reale Molto Meglio
utente_mc96sprf_8979,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96sprf_8979,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96sprf_8979,Grenoble 4,ElevenLabs 4,Grenoble Molto Meglio
utente_mc96sprf_8979,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96sprf_8979,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96tvlw_8277,ElevenLabs 3,Grenoble 3,Uguale 
utente_mc96tvlw_8277,Grenoble 10,ElevenLabs 10,Grenoble Peggio
utente_mc96tvlw_8277,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96tvlw_8277,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc96tvlw_8277,ElevenLabs 7,Grenoble 7,Grenoble Molto Peggio
utente_mc96tvlw_8277,Grenoble Danneggiata 5,Reale 5,Reale Molto Meglio
utente_mc96tvlw_8277,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96tvlw_8277,Grenoble 8,ElevenLabs 8,Grenoble Molto Meglio
utente_mc96tvlw_8277,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96tvlw_8277,ElevenLabs 2,Reale 2,B meglio
utente_mc96tvlw_8277,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96tvlw_8277,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
utente_mc96tvlw_8277,Reale 1,ElevenLabs 1,Reale Molto Meglio
utente_mc96tvlw_8277,Grenoble 6,ElevenLabs 6,Grenoble Peggio
utente_mc96tvlw_8277,Reale 3,ElevenLabs 3,Uguale
utente_mc96tvlw_8277,Grenoble 2,ElevenLabs 2,Grenoble Peggio
utente_mc96tvlw_8277,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96tvlw_8277,Grenoble 4,ElevenLabs 4,Grenoble Molto Meglio
utente_mc96tvlw_8277,Grenoble Danneggiata 3,Reale 3,Reale Molto Meglio
utente_mc96tvlw_8277,Reale 2,Grenoble Danneggiata 2,Reale Molto Meglio
utente_mc96unnk_6744,ElevenLabs 5,Grenoble 5,Grenoble Meglio
utente_mc96unnk_6744,ElevenLabs 1,Grenoble 1,Grenoble Molto Peggio
utente_mc96unnk_6744,Grenoble 2,ElevenLabs 2,Uguale
utente_mc96unnk_6744,ElevenLabs 9,Grenoble 9,Grenoble Peggio
utente_mc96unnk_6744,ElevenLabs 4,Reale 4,Reale Molto Meglio
utente_mc96unnk_6744,Reale 5,ElevenLabs 5,Reale Molto Meglio
utente_mc96unnk_6744,ElevenLabs 3,Grenoble 3,Grenoble Molto Meglio
utente_mc96unnk_6744,Reale 4,Grenoble Danneggiata 4,Reale Molto Meglio
utente_mc96unnk_6744,Grenoble Danneggiata 1,Reale 1,Reale Molto Meglio
